term,coefficient,std_error,p_value
Intercept,1.6779555866935778,0.2592401361159238,9.633593637281181e-11
z_gust_0h,0.0001979069022939746,0.008926510976899563,0.9823117983121797
z_gust_0h_sq,0.07923745080615863,0.0062994686819530625,2.7747599425673083e-36
z_precipitation_24h_sum,0.049975896516419135,0.006038606883757086,1.2731368072935582e-16
z_temperature_0h,-0.07303726463000584,0.009539980483597197,1.91943009459911e-14
z_pressure_msl_0h,-0.03886573064101421,0.007680091416037492,4.179791453915412e-07
z_gust_pressure,0.025261496893503866,0.009376883125498808,0.00705962398136146
urban_binary,0.1364098041272731,0.03656819302577013,0.00019126283528658245
log_population,0.014379018689308416,0.022624701737919525,0.5250729518618547
income_deprivation_rate,0.15975569006318913,0.541372886758558,0.7679223560848722
deprivation_gap_pct,-0.1756356310082466,0.4656158589264739,0.70601647551104
morans_i,0.26214452696688595,0.12554638721120462,0.03679519751526727
z_log1p_customers_v2,0.3391656146084434,0.02042021711127347,5.968060793183097e-62
z_log1p_customers_v2_sq,-0.39608013293229316,0.02099227769123369,2.0947018828337933e-79
incident_year[2022],0.04033547685843682,0.018508033302524558,0.029305699621795286
incident_year[2023],-0.11122931855992614,0.019459359161636273,1.090732117519223e-08
incident_year[2024],-0.2530289473896094,0.03135870652693878,7.095878357713642e-16
incident_month[2],0.3617885822689871,0.04486299784029387,7.365790697687912e-16
incident_month[3],-0.021450234377912044,0.026558703298283685,0.4192899772089427
incident_month[4],-0.0815200795725814,0.03362076337973924,0.015321274322521599
incident_month[5],-0.07446313663682791,0.034948679945480204,0.03311862001850577
incident_month[6],0.10828273358367528,0.041187448341801366,0.008563066342331635
incident_month[7],0.08554300616940556,0.03971420731944894,0.031242929432460376
incident_month[8],0.07288865519762089,0.036886657367308465,0.04815287281534541
incident_month[9],-0.009271234724448095,0.038718218125777706,0.8107535111710832
incident_month[10],-0.05689558892345797,0.03844809187235095,0.1389259165286837
incident_month[11],-0.05830004843859495,0.030055165024023556,0.05240788685441741
incident_month[12],0.0035020488044457446,0.032223039569179664,0.9134551027534236
