task,model,episode,summary,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process,mean_process_rmse,b00_mse,skill_vs_B00
E_log,B00,P1,process,270,4.3172347227856855,2.0777956402845987,1.8508108379464754,-0.08791311680571745,2.2553727869836906,2.846025989318981,-0.5906532023352904,0.0,,,,,1165.6533751521351,94.19522546581204,1071.4581496863234,,4.3172347227856855,0.0
E_log,B00,P2,process,2603,5.759728293863587,2.3999433938873613,2.0082238660732115,-0.09620935478771409,3.1054919247043675,2.394502898762632,0.710989025941735,1.9373851864155306e-16,,,,,14992.572748926916,1315.830543209929,13676.742205716988,,5.759728293863587,0.0
E_log,B00,P3,process,509,4.501143946411774,2.1215899571811168,1.8953692084955773,-0.1461048692718565,2.139311737452243,2.8968099582689275,-0.7574982208166849,2.240892117879097e-16,,,,,2291.0822687235927,292.0660092610856,1999.0162594625074,,4.501143946411774,0.0
E_log,B00,P4,process,576,5.172060674169291,2.274216496767467,2.0257919684814247,-0.07719781153130656,2.2801567263537543,2.888973443095411,-0.6088167167416566,0.0,,,,,2979.106948321512,213.49888968043615,2765.6080586410753,,5.172060674169291,0.0
E_log,B00,P5,process,494,4.782883807991542,2.1869805230023296,1.904643339533241,-0.0008483715037910233,2.866812264339182,2.803139484899954,0.06367277943922757,2.0314654911475975e-16,,,,,2362.744601147822,2.0027860837091613,2360.7418150641133,,4.782883807991542,0.0
E_log,B01,P1,process,270,3.916783992083317,1.9790866560318467,1.6984206347823938,0.012997681550049212,2.2553727869836906,2.406525705437564,-0.15115291845387363,0.23550778847586384,0.15757214893564775,0.20154958188024572,0.6452288960799073,0.6690740461511174,1057.5316778624956,6.16874528442331,1051.3629325780726,,4.3172347227856855,0.09275630268348689
E_log,B01,P2,process,2603,5.104275683903662,2.2592644121270227,1.978750453705756,0.028538419065367915,3.1054919247043675,3.007306784379997,0.09818514032437035,0.12968458912195954,0.18194639773644827,0.16980145003072447,-1.113734430647288,1.4029916659206134,13286.429605201232,25.09375759468392,13261.33584760655,,5.759728293863587,0.11379922394225506
E_log,B01,P3,process,509,4.272543579771442,2.0670132026117884,1.5607718984126269,-0.08789744546069933,2.139311737452243,1.5482814606001893,0.5910302768520537,0.28655709175356237,0.14510615107859748,0.18167080424492582,1.3552963701855565,0.5063778048228801,2174.7246821036642,177.80224517130992,1996.9224369323542,,4.501143946411774,0.050787170852993335
E_log,B01,P4,process,576,5.1654442119876585,2.272761362745253,1.987128140921312,-0.07581978466133377,2.2801567263537543,2.956832694096041,-0.6766759677422868,0.3513372427252187,0.20348544063030205,0.1943780128193734,0.5676357338133051,0.579174126408934,2975.2958661048915,263.74485042429717,2711.5510156805944,,5.172060674169291,0.0012792700237793664
E_log,B01,P5,process,494,4.993961493138061,2.234717318395788,1.8812342936093123,-0.04501769819466794,2.866812264339182,2.1887314259316133,0.6780808384075687,0.14922170367787252,0.24615759724530525,0.24536404815661966,-0.743740728579831,1.6496098836714124,2467.016977610202,227.1380499672626,2239.8789276429393,,4.782883807991542,-0.04413188645599897
E_log,G02,P1,process,270,3.7975833608087535,1.9487389155063213,1.6478931391433043,0.04303541139843792,2.2553727869836906,2.1850141506953804,0.07035863628831002,0.17221846728009682,0.21467518466931557,0.2426583431788932,-0.4683090789262172,1.2465282501914674,1025.3475074183634,1.3365911790946876,1024.0109162392687,,4.3172347227856855,0.12036671511842845
E_log,G02,P2,process,2603,5.18671026670943,2.2774350192067896,1.9083754819945824,0.012849213564827044,3.1054919247043675,2.92482013445658,0.18067179024778723,0.41177484873627707,0.22903332146497382,0.2548133184238358,1.4786774843905293,0.5562100797750744,13501.006824244647,84.96789594485912,13416.03892829979,,5.759728293863587,0.09948698930202138
E_log,G02,P3,process,509,3.793110464437649,1.9475909386823633,1.665438506840948,0.0341783278351695,2.139311737452243,2.2818303287361195,-0.1425185912838765,0.16754211374554928,0.2012046979187178,0.22124443928513998,-0.6009842498145135,1.2009201353654442,1930.6932263987635,10.338578370524186,1920.3546480282394,,4.501143946411774,0.15730078628979538
E_log,G02,P4,process,576,4.340917100965075,2.08348676524836,1.8429312166152596,0.09590650694571767,2.2801567263537543,2.6858792887768277,-0.4057225624230735,0.2815127991347217,0.37198994114661704,0.36727876761989114,-1.26895394154475,1.3213961933169378,2500.368250155883,94.81581945166737,2405.5524307042156,,5.172060674169291,0.16069872833379129
E_log,G02,P5,process,494,4.402070190379855,2.098111100580676,1.802090461179893,0.07883926138335884,2.866812264339182,2.5940979819236882,0.2727142824154933,0.2539704919826325,0.3128381241762222,0.3236366075497275,-0.32856976708920094,1.2317892591932107,2174.6226740476486,36.74030143769833,2137.8823726099504,,4.782883807991542,0.07962008547550325
E_log,G05,P1,process,270,3.865864222398964,1.9661801093488267,1.6776862868083424,0.025829109281314544,2.2553727869836906,2.2510108981625803,0.004361888821110413,0.1778468891196666,0.1615530639124803,0.21131599030601356,0.21059309306474328,0.9083828494957655,1043.7833400477202,0.005137040003686556,1043.7782030077165,,4.3172347227856855,0.10455083621107264
E_log,G05,P2,process,2603,5.144171034530697,2.268076505440391,1.9173654773903794,0.020945412184038892,3.1054919247043675,2.6280888423399484,0.4774030823644192,0.20644235599801697,0.25900959359641235,0.249316741951534,-0.19179762471481565,1.2546339744296484,13390.277202883404,593.259369041879,12797.017833841524,,5.759728293863587,0.10687262105552875
E_log,G05,P3,process,509,3.788452399310757,1.9463947182703607,1.6538968572638717,0.03536438879808823,2.139311737452243,2.2227972489120127,-0.08348551145976957,0.1737240190329852,0.1937530537663464,0.225063410152811,-0.3397568293322015,1.115292259785668,1928.3222712491752,3.5476437874629516,1924.774627461712,,4.501143946411774,0.15833564880082562
E_log,G05,P4,process,576,4.3228015114869525,2.079134798777355,1.827964380196959,0.09967948537149118,2.2801567263537543,2.6394962489112817,-0.3593395225575274,0.2775130266370797,0.3668046273090449,0.3284516933007374,-1.2086144120608422,1.3217564297936082,2489.9336706164845,74.37593806379812,2415.5577325526865,,5.172060674169291,0.16420131475328104
E_log,G05,P5,process,494,4.212416903979927,2.0524173318260415,1.7611565543529806,0.11852539854741828,2.866812264339182,2.7504581706304054,0.1163540937087767,0.333090876473068,0.34871549439958427,0.3397063601641481,-0.012664324609984678,1.0469079732593025,2080.9339505660837,6.68790791065865,2074.2460426554244,,4.782883807991542,0.11927258259095563
E_log,P00,P1,process,270,3.7974491723454675,1.94870448563795,1.6794046419244764,0.043069225957688584,2.2553727869836906,2.3232823133779488,-0.06790952639425826,0.1666072385536695,0.21604498036997746,0.24491871752254077,-0.7573023293256522,1.2967322563262007,1025.3112765332762,1.2451600192749641,1024.0661165140011,,4.3172347227856855,0.12039779715864685
E_log,P00,P2,process,2603,5.218475156701536,2.2843982044953406,1.9059389753430078,0.006803621171128982,3.1054919247043675,2.8593743795193314,0.24611754518503626,0.41427429773756563,0.22926285584961115,0.2548714760637415,1.523090265292013,0.5534083507030515,13583.690832894099,157.67372126270547,13426.017111631396,,5.759728293863587,0.0939719913070729
E_log,P00,P3,process,509,3.888361312620348,1.9718928248310932,1.720923261991321,0.009925057510079882,2.139311737452243,2.476467718631463,-0.33715598117922035,0.1630682899698027,0.20071540019454956,0.2183156874920769,-0.9088910081952708,1.2308671430338696,1979.1759081237572,57.860145223265704,1921.3157629004913,,4.501143946411774,0.13613931060345763
E_log,P00,P4,process,576,4.5503832011350385,2.1331627226104994,1.9069114915678744,0.05228048650477923,2.2801567263537543,2.876105983318548,-0.5959492569647931,0.2635420492303183,0.37129561064648087,0.3682203729909797,-1.77189314758115,1.4088666750936323,2621.0207238537823,204.56957772108802,2416.4511461326947,,5.172060674169291,0.12019918407745733
E_log,P00,P5,process,494,4.367644544045723,2.0898910364049423,1.8067843145008111,0.08604304333890456,2.866812264339182,2.7024507011452785,0.16436156319390344,0.24508818055671913,0.30961154308453387,0.32104492605646184,-0.5471015759401765,1.2632659085446285,2157.6164047585876,13.345273387038496,2144.271131371549,,4.782883807991542,0.08681776112813167
