task,comparison,episode,mse_difference,range_min,range_max
E_log,S02-G02,P1,0.09049992638745064,,
E_log,S02-G02,P2,-0.051563062726659226,,
E_log,S02-G02,P3,0.39876947845788235,,
E_log,S02-G02,P4,0.5015788902615634,,
E_log,S02-G02,P5,0.3898724465040333,,
E_log,S02-G02,MACRO,0.2658315357768541,-0.051563062726659226,0.5015788902615634
E_log,S02-G02,DELETE_P1,0.30966443812420497,,
E_log,S02-G02,DELETE_P2,0.34518018540273243,,
E_log,S02-G02,DELETE_P3,0.23259705010659704,,
E_log,S02-G02,DELETE_P4,0.20689469715567677,,
E_log,S02-G02,DELETE_P5,0.2348213080950593,,
E_log,P00-G02,P1,-0.0001341884632859447,,
E_log,P00-G02,P2,0.031764889992105694,,
E_log,P00-G02,P3,0.0952508481826988,,
E_log,P00-G02,P4,0.2094661001699638,,
E_log,P00-G02,P5,-0.0344256463341317,,
E_log,P00-G02,MACRO,0.06038440070947013,-0.0344256463341317,0.2094661001699638
E_log,P00-G02,DELETE_P1,0.07551404800265915,,
E_log,P00-G02,DELETE_P2,0.06753927838881124,,
E_log,P00-G02,DELETE_P3,0.051667788841162965,,
E_log,P00-G02,DELETE_P4,0.023113975844346712,,
E_log,P00-G02,DELETE_P5,0.08408691247037059,,
E_log,P02-P00,P1,0.07693293183412386,,
E_log,P02-P00,P2,0.08941431634688524,,
E_log,P02-P00,P3,-0.011590925008318376,,
E_log,P02-P00,P4,0.04712663748096979,,
E_log,P02-P00,P5,-0.08031014268280678,,
E_log,P02-P00,MACRO,0.024314563594170745,-0.08031014268280678,0.08941431634688524
E_log,P02-P00,DELETE_P1,0.011159971534182467,,
E_log,P02-P00,DELETE_P2,0.008039625405992123,,
E_log,P02-P00,DELETE_P3,0.033290935744793027,,
E_log,P02-P00,DELETE_P4,0.018611545122470985,,
E_log,P02-P00,DELETE_P5,0.05047074016341513,,
E_log,S03-S02,P1,-0.02919885495054686,,
E_log,S03-S02,P2,0.030324690081741323,,
E_log,S03-S02,P3,-0.1178989350894959,,
E_log,S03-S02,P4,-0.27493287756407536,,
E_log,S03-S02,P5,-0.2219848125594055,,
E_log,S03-S02,MACRO,-0.12273815801635646,-0.27493287756407536,0.030324690081741323
E_log,S03-S02,DELETE_P1,-0.14612298378280886,,
E_log,S03-S02,DELETE_P2,-0.1610038700408809,,
E_log,S03-S02,DELETE_P3,-0.1239479637480716,,
E_log,S03-S02,DELETE_P4,-0.08468947812942673,,
E_log,S03-S02,DELETE_P5,-0.0979264943805942,,
